name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant,from_,destination
Exotic Java Trails,"4,5","Jl. Saturnus Utara XII No.1, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286",08.30–17.00,,0813-9442-2121,-6.9505329,107.6654645,https://www.google.com/maps/place/Exotic+Java+Trails/data=!4m7!3m6!1s0x2e68e81fc240cfdd:0xc11c793776a9e19b!8m2!3d-6.9505329!4d107.6654645!16s%2Fg%2F11clg7m3yd!19sChIJ3c9Awh_oaC4Rm-Gpdjd5HME?authuser=0&hl=id&rclk=1,True,Bandung,
Frestour & Travel,"5,0","Komplek GBA 1, Blk. I No.46, Bojongsoang, Bandung Regency, West Java 40288",,https://frestour.com/,0812-2334-4117,-6.985795,107.634972,https://www.google.com/maps/place/Frestour+%26+Travel/data=!4m7!3m6!1s0x2e68e863900d2af9:0xd2c6009d165811dc!8m2!3d-6.985795!4d107.634972!16s%2Fg%2F11g_402xt!19sChIJ-SoNkGPoaC4R3BFYFp0AxtI?authuser=0&hl=id&rclk=1,True,Bandung,
Gema Raudhah,"5,0","Jl. L. L. R.E. Martadinata No.110, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",09.00–17.00,,0857-2357-5670,-6.909786,107.6255049,https://www.google.com/maps/place/Gema+Raudhah/data=!4m7!3m6!1s0x2e68e7cbb380502d:0x97c1594ffc5badcb!8m2!3d-6.909786!4d107.6255049!16s%2Fg%2F12hq1sssw!19sChIJLVCAs8vnaC4Ry61b_E9ZwZc?authuser=0&hl=id&rclk=1,True,Bandung,
Gptrans Holiday,"4,7","Griya Bandung Asri 2, Blk. E5 No.2, Cipagalo, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287",Buka 24 jam,,0877-0708-1984,-6.9705206,107.6507243,https://www.google.com/maps/place/Gptrans+Holiday/data=!4m7!3m6!1s0x2e68e9e334db8233:0x4468494b4021bb1c!8m2!3d-6.9705206!4d107.6507243!16s%2Fg%2F11l3r8dl05!19sChIJM4LbNOPpaC4RHLshQEtJaEQ?authuser=0&hl=id&rclk=1,True,Bandung,
Gracias Shuttle,"4,6","Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Buka 24 jam,http://www.graciasshuttle.co.id/,0821-5500-7979,-6.8937775,107.5860838,https://www.google.com/maps/place/Gracias+Shuttle/data=!4m7!3m6!1s0x2e68e7d700ec2195:0x402223c1e3a68046!8m2!3d-6.8937775!4d107.5860838!16s%2Fg%2F11vckhll5c!19sChIJlSHsANfnaC4RRoCm48EjIkA?authuser=0&hl=id&rclk=1,True,Bandung,
Gunung Harta Bandung Bali,"4,8","Terminal Bus Cicaheum, Cicaheum, Kec. Kiaracondong, Kabupaten Bandung, Jawa Barat 40282",,,0812-2263-5001,-6.9029096,107.6560994,https://www.google.com/maps/place/Gunung+Harta+Bandung+Bali/data=!4m7!3m6!1s0x2e68e736b3bc63af:0x993e2df432b43ca!8m2!3d-6.9029096!4d107.6560994!16s%2Fg%2F11w9cmq9fx!19sChIJr2O8szbnaC4RykMrQ9_ikwk?authuser=0&hl=id&rclk=1,True,Bandung,
Gunung Harta Cicaheum,"5,0","Jl. A. Yani No.957, Pasirlayung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282",Buka 24 jam,,0821-2127-5719,-6.9023064,107.6569595,https://www.google.com/maps/place/Gunung+Harta+Cicaheum/data=!4m7!3m6!1s0x2e68e7dd6414ec11:0x1e0647e83260e623!8m2!3d-6.9023064!4d107.6569595!16s%2Fg%2F11rmt2_yc_!19sChIJEewUZN3naC4RI-ZgMuhHBh4?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holiday Luxury Shuttle,"3,8","Jl. DR. Djunjunan Dalam No.87, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",,http://shuttle.jackalholidays.com/,(021) 50600678,-6.8962801,107.5899605,https://www.google.com/maps/place/Jackal+Holiday+Luxury+Shuttle/data=!4m7!3m6!1s0x2e68e7ce96af5e87:0x8d1f816830d714cc!8m2!3d-6.8962801!4d107.5899605!16s%2Fg%2F11gbqp06qt!19sChIJh16vls7naC4RzBTXMGiBH40?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holiday UNIKOM Dipatikukur,"3,8","Jl. Dipati Ukur No.89, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",,,,-6.8874759,107.6148685,https://www.google.com/maps/place/Jackal+Holiday+UNIKOM+Dipatikukur/data=!4m7!3m6!1s0x2e68e7c241d0c01b:0x3219024190bbe806!8m2!3d-6.8874759!4d107.6148685!16s%2Fg%2F11vt4tdw86!19sChIJG8DQQcLnaC4RBui7kEECGTI?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holidays,"4,5","Jl. Soekarno-Hatta No.593, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40284",08.30–16.30,,(022) 7302244,-6.9444053,107.6430083,https://www.google.com/maps/place/Jackal+Holidays/data=!4m7!3m6!1s0x2e68e86b04b15893:0x33fc4a36f5fb5fbe!8m2!3d-6.9444053!4d107.6430083!16s%2Fg%2F1hm3bvwmw!19sChIJk1ixBGvoaC4Rvl_79TZK_DM?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holidays Luxury Shuttle (DU 89),"4,2","Jl. Dipati Ukur No.89, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,,0877-2255-1854,-6.8874849,107.614943,https://www.google.com/maps/place/Jackal+Holidays+Luxury+Shuttle+%28DU+89%29/data=!4m7!3m6!1s0x2e68e79780a9aa31:0xa635fe391232ad50!8m2!3d-6.8874849!4d107.614943!16s%2Fg%2F11j0tr8yd_!19sChIJMaqpgJfnaC4RUK0yEjn-NaY?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holidays Luxury Shuttle (Kiaracondong),"4,3","Jl. Kiara Condong No.473, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40275",Buka 24 jam,http://shuttle.jackalholidays.com/,(021) 50600678,-6.9440254,107.6421811,https://www.google.com/maps/place/Jackal+Holidays+Luxury+Shuttle+%28Kiaracondong%29/data=!4m7!3m6!1s0x2e68e9ce265390a5:0x8736102e31b780f7!8m2!3d-6.9440254!4d107.6421811!16s%2Fg%2F11dfqtv9wd!19sChIJpZBTJs7paC4R94C3MS4QNoc?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holidays Luxury Shuttle (Kiaracondong),"1,0","Jl. Kiara Condong No.473, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40275",Buka 24 jam,http://shuttle.jackalholidays.com/,(021) 50600678,-6.9440254,107.6421811,https://www.google.com/maps/place/Jackal+Holidays+Luxury+Shuttle+%28Kiaracondong%29/data=!4m7!3m6!1s0x2e68e9ce265390a5:0x8736102e31b780f7!8m2!3d-6.9440254!4d107.6421811!16s%2Fg%2F11dfqtv9wd!19sChIJpZBTJs7paC4R94C3MS4QNoc?authuser=0&hl=id&rclk=1,True,Bandung,
Jackal Holidays Luxury Shuttle Buah Batu,"3,8","Jl. Terusan Buah Batu No.261, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",03.30–19.30,http://shuttle.jackalholidays.com/,,-6.9608791,107.6390507,https://www.google.com/maps/place/Jackal+Holidays+Luxury+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e9004eb20a8f:0x86e282ead9197854!8m2!3d-6.9608791!4d107.6390507!16s%2Fg%2F11w4ty18lr!19sChIJjwqyTgDpaC4RVHgZ2eqC4oY?authuser=0&hl=id&rclk=1,True,Bandung,
Japantrips,"5,0","Jl. Jend. Sudirman No.346, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182",09.00–17.00,,0811-2346-680,-6.9191235,107.591366,https://www.google.com/maps/place/Japantrips/data=!4m7!3m6!1s0x2e68e757646f8afb:0xcef6492e0d6d7597!8m2!3d-6.9191235!4d107.591366!16s%2Fg%2F11gyccb2nw!19sChIJ-4pvZFfnaC4Rl3VtDS5J9s4?authuser=0&hl=id&rclk=1,True,Bandung,
KPM Trans Buahbatu,"4,6","2JPQ+RCP, Jl. Terusan Buah Batu, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–19.15,,0822-4082-7508,-6.9629112,107.6385662,https://www.google.com/maps/place/KPM+Trans+Buahbatu/data=!4m7!3m6!1s0x2e68e9bc48c36a55:0x9e2bd838143f6c59!8m2!3d-6.9629112!4d107.6385662!16s%2Fg%2F11rfr68v90!19sChIJVWrDSLzpaC4RWWw_FDjYK54?authuser=0&hl=id&rclk=1,True,Bandung,
Kantor Kramat Djati Bandung,"5,0","3HJF+2MM, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",08.00–17.00,,0852-8007-2684,-6.9199386,107.5742117,https://www.google.com/maps/place/Kantor+Kramat+Djati+Bandung/data=!4m7!3m6!1s0x2e68e70040bb1d81:0x63c078d1811065a2!8m2!3d-6.9199386!4d107.5742117!16s%2Fg%2F11ld9s7rkz!19sChIJgR27QADnaC4RomUQgdF4wGM?authuser=0&hl=id&rclk=1,True,Bandung,
Kantor Pemasaran Damri,"3,6","3JQ3+328, Jl. Kebon Kawung, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",,,(021) 1500825,-6.9123434,107.6025756,https://www.google.com/maps/place/Kantor+Pemasaran+Damri/data=!4m7!3m6!1s0x2e68e63ebcd0934d:0xdc60e0a051e23077!8m2!3d-6.9123434!4d107.6025756!16s%2Fg%2F11b6bsdsmn!19sChIJTZPQvD7maC4RdzDiUaDgYNw?authuser=0&hl=id&rclk=1,True,Bandung,
Kantor Pusat & Terminal Bus Kramat Djati,"5,0","Jl. Ambon No.3, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",,,(022) 4200858,-6.9084145,107.6144036,https://www.google.com/maps/place/Kantor+Pusat+%26+Terminal+Bus+Kramat+Djati/data=!4m7!3m6!1s0x2e68e636142071ed:0xfc32eefc0fa39878!8m2!3d-6.9084145!4d107.6144036!16s%2Fg%2F1tg83s0m!19sChIJ7XEgFDbmaC4ReJijD_zuMvw?authuser=0&hl=id&rclk=1,True,Bandung,
Khalifah Tour,"4,7","Jl. Brigadir Jend. Katamso No.11, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",08.30–17.00,,0813-2000-8448,-6.9052135,107.6308074,https://www.google.com/maps/place/Khalifah+Tour/data=!4m7!3m6!1s0x2e68e7b7b6d543bf:0x434ad0906b77c620!8m2!3d-6.9052135!4d107.6308074!16s%2Fg%2F1tg97sf4!19sChIJv0PVtrfnaC4RIMZ3a5DQSkM?authuser=0&hl=id&rclk=1,True,Bandung,
Kramat Djati,"4,0","3JP2+WHX, Jl. Kebon Kawung, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",,,(022) 4203007,-6.9126298,107.6014759,https://www.google.com/maps/place/Kramat+Djati/data=!4m7!3m6!1s0x2e68e63e84db9723:0xdfb9753aa35546a1!8m2!3d-6.9126298!4d107.6014759!16s%2Fg%2F11b6bmknwb!19sChIJI5fbhD7maC4RoUZVozp1ud8?authuser=0&hl=id&rclk=1,True,Bandung,
Kramat Djati,"3,3","Jl. Garuda No.15, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184",,,,-6.9161649,107.5771816,https://www.google.com/maps/place/Kramat+Djati/data=!4m7!3m6!1s0x2e68e609a9b15777:0x246f9566fdaa6365!8m2!3d-6.9161649!4d107.5771816!16s%2Fg%2F11c6018171!19sChIJd1exqQnmaC4RZWOq_WaVbyQ?authuser=0&hl=id&rclk=1,True,Bandung,
Kramat Djati Tour,"5,0","Paskal Hyper Square Blok A-46, JL. Pasir Kaliki, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40254",,,(022) 70640010,-6.9067943,107.601167,https://www.google.com/maps/place/Kramat+Djati+Tour/data=!4m7!3m6!1s0x2e68e6408b7c651f:0x73e22af05beb1ca5!8m2!3d-6.9067943!4d107.601167!16s%2Fg%2F1pzs_9g3v!19sChIJH2V8i0DmaC4RpRzrW_Aq4nM?authuser=0&hl=id&rclk=1,True,Bandung,
Kramat Jati,"5,0","Terminal Bus Cicaheum, Jl. A. Yani, Cicaheum, Kec. Kiaracondong, Kabupaten Bandung, Jawa Barat 40282",,,(022) 93089513,-6.9023048,107.6570705,https://www.google.com/maps/place/Kramat+Jati/data=!4m7!3m6!1s0x2e68e792740f0dab:0x5cce54ae892d91c5!8m2!3d-6.9023048!4d107.6570705!16s%2Fg%2F11b630k9p4!19sChIJqw0PdJLnaC4RxZEtia5Uzlw?authuser=0&hl=id&rclk=1,True,Bandung,"Palembang, Metro, Terbanggi Besar, Negara"
Kramatdjati,"3,8","Jl. Leuwi Panjang No.15 A, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235",,,(022) 70689316,-6.942764,107.596296,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e8bdbfc85745:0xaf98918b14927dde!8m2!3d-6.942764!4d107.596296!16s%2Fg%2F1pzw15tw1!19sChIJRVfIv73oaC4R3n2SFIuRmK8?authuser=0&hl=id&rclk=1,True,Bandung,
Kramatdjati,"4,6","3P8F+889, JL. Raya Bunderan, Cibiru, Cibiru Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40615",,,0813-2211-2235,-6.934202,107.723368,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68c325f5f342af:0x31197e38b5f72efd!8m2!3d-6.934202!4d107.723368!16s%2Fg%2F1pzrpl2vh!19sChIJr0Lz9SXDaC4R_S73tTh-GTE?authuser=0&hl=id&rclk=1,True,Bandung,
Kramatdjati,"4,0","Jl. Kiara Condong No.432, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281",,,(022) 91138845,-6.9257501,107.6451803,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e7dfe1d36c89:0x4055945134f9cdf9!8m2!3d-6.9257501!4d107.6451803!16s%2Fg%2F1pzpxb1cn!19sChIJiWzT4d_naC4R-c35NFGUVUA?authuser=0&hl=id&rclk=1,True,Bandung,
Kramatdjati,"4,0","3M55+HWX, Jl. Soekarno-Hatta, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",,,(022) 6005269,-6.9410145,107.6598725,https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e68e81a32edef67:0x8fe447981b11fdd0!8m2!3d-6.9410145!4d107.6598725!16s%2Fg%2F11bc7sfb6q!19sChIJZ-_tMhroaC4R0P0RG5hH5I8?authuser=0&hl=id&rclk=1,True,Bandung,
LOKET UTAMA EPA STAR BANDUNG,"3,6","Jl. Batununggal Indah Raya No.23A, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",,,0812-2255-6009,-6.9529582,107.6235076,https://www.google.com/maps/place/LOKET+UTAMA+EPA+STAR+BANDUNG/data=!4m7!3m6!1s0x2e68e961860f08fb:0x506303035e6c57f4!8m2!3d-6.9529582!4d107.6235076!16s%2Fg%2F11sbmxx4t3!19sChIJ-wgPhmHpaC4R9FdsXgMDY1A?authuser=0&hl=id&rclk=1,True,Bandung,
Lintas Shuttle Bandung Trade Center,"4,3","Bandung Trade Center, Jl. Dr. Djundjunan No.143-149 Lt. Ground, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40174",Buka 24 jam,https://mylintas.co.id/,0855-1500-646,-6.8929947,107.5848809,https://www.google.com/maps/place/Lintas+Shuttle+Bandung+Trade+Center/data=!4m7!3m6!1s0x2e68e645bfffffe3:0xe3417684a4da801d!8m2!3d-6.8929947!4d107.5848809!16s%2Fg%2F1hm3jmtmc!19sChIJ4___v0XmaC4RHYDapIR2QeM?authuser=0&hl=id&rclk=1,True,Bandung,
Lintas Shuttle Buah Batu,"4,3","Jl. Terusan Buah Batu No.43, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",04.30–20.30,http://www.mylintas.co.id/,0821-2086-6114,-6.9518462,107.6374187,https://www.google.com/maps/place/Lintas+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e94ab71b310d:0x7727ef7be4261be5!8m2!3d-6.9518462!4d107.6374187!16s%2Fg%2F11scb__jcm!19sChIJDTEbt0rpaC4R5Rsm5HvvJ3c?authuser=0&hl=id&rclk=1,True,Bandung,
Lintas Shuttle Dago Point,"5,0","Jl. Ir. H. Juanda No.170, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,https://mylintas.co.id/,,-6.8855109,107.6139418,https://www.google.com/maps/place/Lintas+Shuttle+Dago+Point/data=!4m7!3m6!1s0x2e68e6f8eba0b115:0xd510abb6c68a618e!8m2!3d-6.8855109!4d107.6139418!16s%2Fg%2F11f01tl73w!19sChIJFbGg6_jmaC4RjmGKxrarENU?authuser=0&hl=id&rclk=1,True,Bandung,
Lintas Shuttle Drop Off Pasteur,"5,0","Jl. Dr. Djunjunan No.158, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40173",Buka 24 jam,http://mylintas.co.id/,(022) 6020500,-6.892032,107.5835766,https://www.google.com/maps/place/Lintas+Shuttle+Drop+Off+Pasteur/data=!4m7!3m6!1s0x2e68e665dae191b7:0x304496ec3ae4ce0a!8m2!3d-6.892032!4d107.5835766!16s%2Fg%2F1tdhp3ml!19sChIJt5Hh2mXmaC4RCs7kOuyWRDA?authuser=0&hl=id&rclk=1,True,Bandung,
Lintas Shuttle MIM,"4,1","3M55+JCC SOEKARNO HATTA, Jl. Soekarno-Hatta, Batununggal, Buahbatu, Bandung City, West Java",Buka 24 jam,https://www.mylintas.co.id/,0821-2086-6113,-6.9409272,107.65851,https://www.google.com/maps/place/Lintas+Shuttle+MIM/data=!4m7!3m6!1s0x2e68e9fd4effd6dd:0xe133f30745c659ab!8m2!3d-6.9409272!4d107.65851!16s%2Fg%2F11kq1p7r38!19sChIJ3db_Tv3paC4Rq1nGRQfzM-E?authuser=0&hl=id&rclk=1,True,Bandung,
MABAIS TOUR HAJI UMROH,"5,0","Buah Batu Square, Blk. A No.10, Cipagalo, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287",Buka 24 jam,https://tourtravel.mabais.com/,0851-8300-5248,-6.9662991,107.6380844,https://www.google.com/maps/place/MABAIS+TOUR+HAJI+UMROH/data=!4m7!3m6!1s0x2e68e903a34af283:0x84952f133104d267!8m2!3d-6.9662991!4d107.6380844!16s%2Fg%2F11w3l0n_ms!19sChIJg_JKowPpaC4RZ9IEMRMvlYQ?authuser=0&hl=id&rclk=1,True,Bandung,
MS Shuttle Buah Batu,"4,4","Jl. Terusan Buah Batu No.273KujangsariKec, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",,,0813-6212-8083,-6.9626978,107.6386413,https://www.google.com/maps/place/MS+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e90017a9edeb:0x1535b35ca6896881!8m2!3d-6.9626978!4d107.6386413!16s%2Fg%2F11w24b9hy1!19sChIJ6-2pFwDpaC4RgWiJplyzNRU?authuser=0&hl=id&rclk=1,True,Bandung,
Magnus Wisata Tour & Travel,"4,3","JL Sukahaji, No. 129, Sukarasa, Sukasari, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40152",,,(022) 2006750,-6.8702197,107.592888,https://www.google.com/maps/place/Magnus+Wisata+Tour+%26+Travel/data=!4m7!3m6!1s0x2e68e6983351c85f:0x3420898c999afa6d!8m2!3d-6.8702197!4d107.592888!16s%2Fg%2F11b6dn4_pc!19sChIJX8hRM5jmaC4RbfqamYyJIDQ?authuser=0&hl=id&rclk=1,True,Bandung,
Maqdis Travel Bandung,"4,8","Metro Indah Mall Blok D No. 20, Jl. Soekarno-Hatta No.590, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",08.00–16.00,https://maqdistravel.com/,(022) 7536272,-6.941497,107.658126,https://www.google.com/maps/place/Maqdis+Travel+Bandung/data=!4m7!3m6!1s0x2e68e81a18de840b:0x506ebf119c8a118!8m2!3d-6.941497!4d107.658126!16s%2Fg%2F1pzv3kjlt!19sChIJC4TeGBroaC4RGKHIGfHrBgU?authuser=0&hl=id&rclk=1,True,Bandung,
Mitra Baraya Trans Cililin,"5,0","Kp Jl. Sasak Bubur No.44, RT.04 rw10, Cihampelas, Kec. Cihampelas, Kabupaten Bandung Barat, Jawa Barat 40562",Buka 24 jam,https://www.facebook.com/profile.php?id=61571108990228&mibextid=ZbWKwL,0821-8288-4547,-6.9265991,107.4782568,https://www.google.com/maps/place/Mitra+Baraya+Trans+Cililin/data=!4m7!3m6!1s0x2e68f1006f8fa377:0x455310a5df589f54!8m2!3d-6.9265991!4d107.4782568!16s%2Fg%2F11ld2cp8v4!19sChIJd6OPbwDxaC4RVJ9Y36UQU0U?authuser=0&hl=id&rclk=1,True,Bandung,
Nata Tours,"4,0","Jl. Karapitan No.108, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",08.30–21.00,,(022) 4212345,-6.9301138,107.6159246,https://www.google.com/maps/place/Nata+Tours/data=!4m7!3m6!1s0x2e68e8818134ca49:0xd1e62fed13b1ce91!8m2!3d-6.9301138!4d107.6159246!16s%2Fg%2F1pzwbfp5q!19sChIJSco0gYHoaC4Rkc6xE-0v5tE?authuser=0&hl=id&rclk=1,True,Bandung,
Naz holiday tour and travel Bandung,"5,0","Jl. Parakan Saat No.49, RT.02/RW.06, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",Buka 24 jam,,0821-1617-7707,-6.9257493,107.6691263,https://www.google.com/maps/place/Naz+holiday+tour+and+travel+Bandung/data=!4m7!3m6!1s0x2e68c3a6b5dc3a69:0xf738748bfa6de9e2!8m2!3d-6.9257493!4d107.6691263!16s%2Fg%2F11fk42752f!19sChIJaTrctabDaC4R4ult-ot0OPc?authuser=0&hl=id&rclk=1,True,Bandung,
Nita Laundry,"5,0","Jl. Sukabirus No.40-17, Citeureup, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257",08.00–21.30,,0821-2519-5121,-6.9781294,107.6324619,https://www.google.com/maps/place/Nita+Laundry/data=!4m7!3m6!1s0x2e68e9000341f50f:0xac91a4bc3731cb92!8m2!3d-6.9781294!4d107.6324619!16s%2Fg%2F11lf7bftrn!19sChIJD_VBAwDpaC4RkssxN7ykkaw?authuser=0&hl=id&rclk=1,True,Bandung,
PO. Kramat Djati,"3,3","Jl. Raya Banjaran Barat No.552, RT.01/RW.RW, Bojongmanggu, Kec. Pameungpeuk, Kabupaten Bandung, Jawa Barat 40376",,,0813-2148-9142,-7.0283313,107.593997,https://www.google.com/maps/place/PO.+Kramat+Djati/data=!4m7!3m6!1s0x2e68ebdcebcbee1b:0x976f065821211ee5!8m2!3d-7.0283313!4d107.593997!16s%2Fg%2F1pzppzzt1!19sChIJG-7L69zraC4R5R4hIVgGb5c?authuser=0&hl=id&rclk=1,True,Bandung,
PO.Gunung Harta (Kebon Kawung Bandung),"5,0","Jl. Kebon Kawung No.49, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",08.00–15.00,https://ghtiket.solutions/online,0823-2146-3328,-6.9124288,107.5994491,https://www.google.com/maps/place/PO.Gunung+Harta+%28Kebon+Kawung+Bandung%29/data=!4m7!3m6!1s0x2e68e63e73d0316d:0x9db22fcce2dd454f!8m2!3d-6.9124288!4d107.5994491!16s%2Fg%2F11c7t288pl!19sChIJbTHQcz7maC4RT0Xd4swvsp0?authuser=0&hl=id&rclk=1,True,Bandung,
POS Kontrol bus Primajasa,"3,7","Jl. Raya Rancaekek - Garut No.29, Tenjolaya, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395",,,,-6.9741305,107.8380404,https://www.google.com/maps/place/POS+Kontrol+bus+Primajasa/data=!4m7!3m6!1s0x2e68c53837596c95:0xa8f489ab04ba46a1!8m2!3d-6.9741305!4d107.8380404!16s%2Fg%2F11q8w0tlw1!19sChIJlWxZNzjFaC4RoUa6BKuJ9Kg?authuser=0&hl=id&rclk=1,True,Bandung,
PT LINTAS SATU VISI,"4,9","Selatan Blok F 12, Jl. Podomoro Boulevard Utara",09.00–17.00,http://liv.co.id/,(022) 21000234,-6.9769141,107.6412376,https://www.google.com/maps/place/PT+LINTAS+SATU+VISI/data=!4m7!3m6!1s0x2e68e94a18e3f255:0x71e20b5a05784f9b!8m2!3d-6.9769141!4d107.6412376!16s%2Fg%2F11nmmdn3pt!19sChIJVfLjGErpaC4Rm094BVoL4nE?authuser=0&hl=id&rclk=1,True,Bandung,
PT PAHALA KENCANA AGEN SOREANG,"5,0","XG9H+X99, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911",,,,-7.030087,107.5284985,https://www.google.com/maps/place/PT+PAHALA+KENCANA+AGEN+SOREANG/data=!4m7!3m6!1s0x2e68ec349656ab77:0x7547b739d8f93b5!8m2!3d-7.030087!4d107.5284985!16s%2Fg%2F11csrs4fk_!19sChIJd6tWljTsaC4RtZOPnXN7VAc?authuser=0&hl=id&rclk=1,True,Bandung,
PT. Pahala Kencana Terminal Cicaheum,"4,1","Jl. Pahala Kencana No.212, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192",,http://pahalakencana.co.id/,0823-1589-2012,-6.9023164,107.6570532,https://www.google.com/maps/place/PT.+Pahala+Kencana+Terminal+Cicaheum/data=!4m7!3m6!1s0x2e68e7927410ec0d:0xfd55e147f9ab74b1!8m2!3d-6.9023164!4d107.6570532!16s%2Fg%2F11b62v0zl3!19sChIJDewQdJLnaC4RsXSr-UfhVf0?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Bogor, Depok, Cirebon, Denpasar (Bali), Surabaya, Malang"
PT. SURYAPUTRA ANUGERAH (Sewa Bus Pariwisata Suryaputra),"5,0","Jl. Soekarno-Hatta No.269, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235",08.00–17.00,https://suryaputra.co/,(022) 5203905,-6.9470921,107.5978346,https://www.google.com/maps/place/PT.+SURYAPUTRA+ANUGERAH+%28Sewa+Bus+Pariwisata+Suryaputra%29/data=!4m7!3m6!1s0x2e68e814641f8e91:0x5423747e1152caf8!8m2!3d-6.9470921!4d107.5978346!16s%2Fg%2F1tmmbl8v!19sChIJkY4fZBToaC4R-MpSEX50I1Q?authuser=0&hl=id&rclk=1,True,Bandung,
PT.GRACIAS ANUGERAH SEJAHTERA,"4,6","Jl. Jurang No.11, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",09.00–17.00,,0877-6677-8889,-6.889589,107.600054,https://www.google.com/maps/place/PT.GRACIAS+ANUGERAH+SEJAHTERA/data=!4m7!3m6!1s0x2e68e65fb1e14b29:0xd7ca1c188b3e3322!8m2!3d-6.889589!4d107.600054!16s%2Fg%2F11c1t_l8b2!19sChIJKUvhsV_maC4RIjM-ixgcytc?authuser=0&hl=id&rclk=1,True,Bandung,
